value,anomaly
-0.1312324104791023,0
0.3987358609968449,0
0.8091081963448463,0
1.0078879561539287,0
1.340090947274365,0
1.4651511875473089,0
1.5136285678340122,0
1.393177626300411,0
1.3430283913872911,0
1.1748949724841875,0
0.8473258545260131,0
0.5848240906362336,0
0.1442302215722563,0
-0.126736319970023,0
-0.5017327685987929,0
-0.8895087141930071,0
-1.1956158924275773,0
-6.190348906495418,1
-1.0062910477958642,1
-0.5809139611115648,1
0.19483885010791413,1
0.8491284998354831,1
1.4542884056659766,1
2.21418680847858,1
-6.190348906495418,1
4.0702811650831725,1
4.927859856534893,1
5.972935019272323,1
5.64798197960365,1
4.625462850849927,1
3.5993836684176053,1
5.888798818000507,0
5.91670445317345,0
5.918474629525475,0
5.7120532212787465,0
5.34748185887861,0
5.141408499129201,0
4.561203588367685,0
4.210270220988944,0
3.855380582429362,0
3.577489184435856,0
3.2941172555753093,0
3.1433080135431384,0
2.9805987187461045,0
3.1004410129642412,0
2.943433053783274,0
3.159759854312255,0
3.4999924225945196,0
3.6563511011357646,0
4.237268709248629,0
4.410898680201173,0
4.8318038662321205,0
5.152127049036715,0
5.4647257315655935,0
8.688579552306859,1
5.964670493729655,0
5.932373041654122,0
6.067141106797557,0
5.851269735255224,0
5.589040003068805,0
5.671826948818163,1
5.758725619669837,1
5.651690218537537,1
3.392552393006574,1
3.335069563858031,1
3.3154383035200183,1
3.246143607466018,1
3.3298778889597798,1
3.323593175709984,1
3.319110939597058,1
2.935326103043266,0
3.2609651037095264,0
3.4482960559780063,0
3.7256781404906985,0
3.2404535135940504,1
4.494359256245837,1
5.741044549438518,1
5.68770003571681,1
5.710844363482257,1
5.752391523822342,1
5.754073707908602,1
5.682378308560972,1
5.697067153396569,1
5.749910657280949,1
5.714181544112913,0
5.413795343733462,0
5.060352228269359,0
4.690121122958187,0
4.268588212794216,0
3.8578543310334377,0
3.490375721130924,0
3.37191743261934,0
3.2835024283231333,0
2.9983013726442933,0
3.1403551134945076,0
3.073641533109612,0
3.2278063518176316,0
3.4734761606560367,0
3.763493430530146,0
3.9404288041110105,0
4.372151159567932,0
4.787815255235231,0
4.999631850598756,0
5.52931945475345,0
2.1965509789481095,1
5.892821541816858,0
1.5111190733482014,1
5.975096920695988,0
5.881043176894608,0
5.599338800834306,0
